snapshot_date,ticker,instrument_name,curve_type,instrument_type,settlement_date,maturity_date,days_to_maturity,price,annual_yield,monthly_yield,duration_years,volume,status,source_id,source_url,source_sha256,retrieved_at
2026-08-19,X30S6,Bono CER,cer,boncer,2026-08-20,2026-09-30,41,114.050000,3.289745,0.270097,0.112329,5132435618.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,TZXO6,Bono CER,cer,boncer,2026-08-20,2026-10-30,71,168.900000,4.801942,0.391616,0.194521,6179164075.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,TX26,Bono CER,cer,boncer,2026-08-20,2026-11-09,81,724.600000,5.536258,0.450046,0.221918,478969173.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,X30N6,Bono CER,cer,boncer,2026-08-20,2026-11-30,102,122.000000,6.180938,0.501038,0.279452,2131373290.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,TZXD6,Bono CER,cer,boncer,2026-08-20,2026-12-15,117,295.700000,6.735455,0.544671,0.320548,8935889874.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,TZXM7,Bono CER,cer,boncer,2026-08-20,2027-03-31,223,217.250000,7.068579,0.570784,0.610959,3024389421.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,TZX27,Bono CER,cer,boncer,2026-08-20,2027-06-30,314,384.050000,7.411364,0.597577,0.860274,124587833.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,TZXD7,Bono CER,cer,boncer,2026-08-20,2027-12-15,482,270.000000,8.836363,0.708123,1.320548,1737057712.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,TZX28,Bono CER,cer,boncer,2026-08-20,2028-06-30,680,342.750000,9.865063,0.787104,1.863014,2110143613.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,TX28,Bono CER,cer,boncer,2026-08-20,2028-11-09,812,1691.000000,9.143029,0.731739,1.167263,35531741.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
