snapshot_date,ticker,instrument_name,curve_type,instrument_type,settlement_date,maturity_date,days_to_maturity,price,annual_yield,monthly_yield,duration_years,volume,status,source_id,source_url,source_sha256,retrieved_at
2026-09-22,X30S6,Bono CER,cer,boncer,2026-09-23,2026-09-30,7,117.075000,1.857357,0.153478,0.019178,1044151533.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TZXO6,Bono CER,cer,boncer,2026-09-23,2026-10-30,37,174.040000,2.032807,0.167842,0.101370,5623513679.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TX26,Bono CER,cer,boncer,2026-09-23,2026-11-09,47,747.300000,3.159836,0.259581,0.128767,765598453.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,X30N6,Bono CER,cer,boncer,2026-09-23,2026-11-30,68,126.080000,3.694768,0.302803,0.186301,1883366192.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TZXD6,Bono CER,cer,boncer,2026-09-23,2026-12-15,83,306.250000,3.915069,0.320544,0.227397,4729462675.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TZXM7,Bono CER,cer,boncer,2026-09-23,2027-03-31,189,226.700000,4.349134,0.355398,0.517808,3154582115.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TZX27,Bono CER,cer,boncer,2026-09-23,2027-06-30,280,403.700000,4.600203,0.375497,0.767123,266356580.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TZXD7,Bono CER,cer,boncer,2026-09-23,2027-12-15,448,281.300000,7.934131,0.638286,1.227397,4768741420.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TZX28,Bono CER,cer,boncer,2026-09-23,2028-06-30,646,354.500000,9.737990,0.777385,1.769863,2734736027.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TX28,Bono CER,cer,boncer,2026-09-23,2028-11-09,778,1760.000000,8.239199,0.661960,1.078263,172140313.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,TX31,Bono CER,cer,boncer,2026-09-23,2031-12-01,1895,1452.000000,10.908312,0.866513,2.639529,308800786.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,DICP,Bono CER,cer,boncer,2026-09-23,2034-01-02,2658,48700.000000,2.575524,0.212134,3.435541,3315323.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,PARP,Bono CER,cer,boncer,2026-09-23,2038-12-31,4482,34695.000000,10.382901,0.826606,6.356410,42350.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,d57dc4156afe4d429b015bcd48d98117e4e4799e6102ea2e3156c11cae88b1bc,2026-09-23T01:40:07Z
2026-09-22,S30S6,LECAP,nominal,lecap,2026-09-23,2026-09-30,7,117.060000,23.540000,1.777231,0.019178,43109081042.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,S16O6,LECAP,nominal,lecap,2026-09-23,2026-10-16,23,103.760000,25.870000,1.935827,0.063014,48310178367.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,S30O6,LECAP,nominal,lecap,2026-09-23,2026-10-30,37,132.410000,23.540000,1.777231,0.101370,3091269877.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,S13N6,LECAP,nominal,lecap,2026-09-23,2026-11-13,51,106.070000,26.850000,2.001730,0.139726,66116479718.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,S30N6,LECAP,nominal,lecap,2026-09-23,2026-11-30,68,124.240000,26.960000,2.009098,0.186301,47304171543.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,T15E7,BONCAP,nominal,boncap,2026-09-23,2027-01-15,114,149.400000,27.330000,2.033839,0.312329,1681465460.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,S29E7,LECAP,nominal,lecap,2026-09-23,2027-01-29,128,102.450000,27.900000,2.071825,0.350685,3130955709.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,T30A7,BONCAP,nominal,boncap,2026-09-23,2027-04-30,219,135.110000,28.900000,2.138093,0.600000,4084261184.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,T31Y7,BONCAP,nominal,boncap,2026-09-23,2027-05-31,250,127.200000,29.930000,2.205858,0.684932,11079965719.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
2026-09-22,T30J7,BONCAP,nominal,boncap,2026-09-23,2027-06-30,280,128.200000,29.200000,2.157881,0.767123,622315777.000000,reported_yield,argentinadatos_reported_yield_curves,https://api.argentinadatos.com/v1/finanzas/letras,9111f9d25be5652362efbc93782207ac0a2a22c65d0a1cde5c8ae67d7ca14d9a,2026-09-23T01:40:07Z
